epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,17376.5,0.54101,0.55124,0.87605,0.97533,0.95267,0.98883,0.89287,0.47869,0.44254,0.83848,0.000643101,0.000643101,0.000643101
43,17787.6,0.53945,0.54346,0.87476,0.97132,0.95884,0.98897,0.89343,0.477,0.44198,0.8382,0.000628101,0.000628101,0.000628101
44,18209.8,0.53611,0.54278,0.87517,0.971,0.95754,0.98932,0.89419,0.47613,0.44013,0.83796,0.000612981,0.000612981,0.000612981
45,18631.4,0.53461,0.5305,0.8734,0.97217,0.95917,0.98936,0.89473,0.47571,0.44082,0.83771,0.000597754,0.000597754,0.000597754
46,19046,0.5331,0.5345,0.87331,0.97304,0.9563,0.98948,0.89462,0.47498,0.4394,0.83757,0.000582435,0.000582435,0.000582435
47,19469.6,0.53087,0.53607,0.87126,0.97321,0.95749,0.98963,0.89427,0.47433,0.43913,0.83742,0.00056704,0.00056704,0.00056704
48,19878.8,0.53013,0.53632,0.8723,0.97306,0.95819,0.98944,0.89537,0.47341,0.43849,0.83733,0.000551584,0.000551584,0.000551584
49,20280.9,0.52143,0.52491,0.86925,0.97315,0.95765,0.98941,0.89595,0.47351,0.43789,0.83749,0.000536081,0.000536081,0.000536081
50,20688.9,0.51797,0.52233,0.86668,0.97277,0.96109,0.98959,0.89613,0.47232,0.43674,0.83726,0.000520548,0.000520548,0.000520548
51,21094.9,0.51615,0.51955,0.86906,0.9721,0.96222,0.98956,0.89678,0.47158,0.43625,0.83697,0.000505,0.000505,0.000505
52,21501.8,0.51177,0.51398,0.86392,0.973,0.95977,0.98944,0.89713,0.47053,0.4352,0.83676,0.000489452,0.000489452,0.000489452
53,21905,0.50805,0.50789,0.86579,0.97239,0.9601,0.9895,0.89714,0.46971,0.43455,0.83651,0.000473919,0.000473919,0.000473919
54,22313.5,0.50793,0.5129,0.86669,0.97239,0.96013,0.98953,0.89804,0.46839,0.43445,0.83623,0.000458416,0.000458416,0.000458416
55,22722.1,0.50803,0.50819,0.86405,0.97242,0.96142,0.98963,0.89881,0.46747,0.4337,0.83591,0.00044296,0.00044296,0.00044296
56,23128.2,0.50193,0.50107,0.86409,0.97223,0.96126,0.98966,0.89913,0.46703,0.43343,0.83579,0.000427565,0.000427565,0.000427565
57,23537.5,0.50141,0.49858,0.8648,0.97126,0.95987,0.98963,0.89866,0.4666,0.43298,0.83565,0.000412246,0.000412246,0.000412246
58,23947.4,0.49786,0.50087,0.86427,0.9711,0.96062,0.98971,0.89844,0.46608,0.43296,0.83556,0.000397019,0.000397019,0.000397019
59,24356.3,0.4958,0.49286,0.86242,0.9711,0.96064,0.98971,0.89903,0.46564,0.43209,0.83558,0.000381899,0.000381899,0.000381899
60,24760.5,0.4949,0.4883,0.86169,0.97141,0.96038,0.98966,0.89972,0.46504,0.43226,0.83546,0.000366899,0.000366899,0.000366899
61,25168.3,0.49282,0.4922,0.86304,0.97142,0.96047,0.98971,0.89899,0.46459,0.43135,0.8355,0.000352037,0.000352037,0.000352037
62,25576.1,0.49345,0.48849,0.86135,0.97144,0.96055,0.98969,0.89996,0.46398,0.4305,0.83531,0.000337325,0.000337325,0.000337325
63,25987.8,0.48487,0.48103,0.85938,0.97143,0.96092,0.98972,0.90014,0.46329,0.42989,0.83522,0.000322778,0.000322778,0.000322778
64,26391.4,0.48255,0.47556,0.859,0.97039,0.96186,0.98982,0.90031,0.4629,0.42932,0.83516,0.000308412,0.000308412,0.000308412
65,26801.1,0.48601,0.48262,0.86125,0.97199,0.96169,0.98994,0.90002,0.46203,0.42864,0.83492,0.000294239,0.000294239,0.000294239
66,27213.8,0.48291,0.48146,0.85985,0.9724,0.96188,0.98996,0.9007,0.46133,0.42805,0.83468,0.000280275,0.000280275,0.000280275
67,27621.3,0.48099,0.48017,0.85906,0.97171,0.96205,0.99002,0.90102,0.46042,0.42741,0.83454,0.000266532,0.000266532,0.000266532
68,28027.2,0.48211,0.47994,0.86047,0.97169,0.96376,0.99001,0.90206,0.45999,0.42625,0.83445,0.000253024,0.000253024,0.000253024
69,28428.4,0.48151,0.47554,0.86004,0.97125,0.9638,0.99005,0.90269,0.45974,0.42544,0.83441,0.000239766,0.000239766,0.000239766
70,28837.9,0.47259,0.46838,0.85759,0.97123,0.96281,0.99009,0.90215,0.45931,0.4259,0.83428,0.000226769,0.000226769,0.000226769
71,29245.6,0.47304,0.46727,0.85708,0.97138,0.96281,0.99005,0.90232,0.45901,0.42626,0.83421,0.000214046,0.000214046,0.000214046
72,29652.7,0.47174,0.46174,0.85564,0.9705,0.96314,0.98981,0.90203,0.4588,0.42552,0.83422,0.000201611,0.000201611,0.000201611
73,30060.1,0.46994,0.46324,0.8569,0.97036,0.96328,0.9899,0.90253,0.45815,0.42519,0.83407,0.000189475,0.000189475,0.000189475
74,30467.3,0.46829,0.45972,0.85645,0.97034,0.96348,0.98988,0.90259,0.45766,0.42458,0.83397,0.000177651,0.000177651,0.000177651
75,30872.7,0.46336,0.46048,0.85177,0.97053,0.963,0.99001,0.90276,0.45675,0.42443,0.83363,0.000166149,0.000166149,0.000166149
