place_id,place_name,address,lat,lon,n_reviews,n_negatif,n_positif,sentimen_mayoritas,avg_prob_neg,avg_prob_pos,ringkasan_ulasan,contoh_ulasan
ChIJVYgdb59eZS4RZbAhrAhUrWw,Bakmi Nyemek Bu TRIMO,"Jl. Jend. Sudirman, Karanganyar, Berkoh, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.433213499999997,109.25849419999997,92,14,78,Positif,0.18512678146362305,0.8148731589317322,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Salah satu bakmi Nyemek favorite<br>&bull; Bumbunya berasa dan bukan tipikal ngecap banget, tipikal masakan Jawa dan ciri khas mienya pipih...kalo suka pedes nampol mantap bener2 cabai plus...<br>&bull; Rasa biasa, nunggu masakan agak lama, harga utk kalangan biasa berat."
ChIJqRL3DIleZS4RDQJ21bDXlmw,Mie Ayam Ijo Bpk. Sabar,"Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.4235896,109.23911039999999,88,16,72,Positif,0.2113971710205078,0.7886028289794922,"rasa enak/gurih, harga terjangkau, porsi kurang","&bull; Enak ini Mampir sini ada 2 pilihan mie yaitu standar dan ijo Rasanya mantep banget, ini tipikal mie kecil dan rasa ayam nya manis. Tingkat kematang...<br>&bull; Enak...sayang tempatnya kurang jyaman<br>&bull; Mie Ayam Hijau yang kalo disantap mengenyangkan. Dari rasa dan tampilan kuahnya tebakan saya menganut mazhab Wonogirian. Kuah cenderung coklat, ken..."
ChIJYUE1GiBfZS4RDlww2YMt828,Bakso Gendut Putro,"H7C3+X2W, Jl. Jend. Sudirman, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.427505200000003,109.25256529999994,86,17,69,Positif,0.22662566602230072,0.7733743190765381,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; kurang ramah<br>&bull; Seger semua bahan bahannya, enakkk<br>&bull; Tempat cuci tangan harus ada Min dan bersih."
ChIJZzpAJKheZS4RXLexgMyRGdM,Mie Ayam Pojok Lapang,"H77F+P7X, Gg. Puteran 1, Kedungkidang, Pamijen, Kec. Sokaraja, Kabupaten Banyumas, Jawa Tengah 53181, Indonesia",-7.4356344000000005,109.27323210000002,85,13,72,Positif,0.18380723893642426,0.8161928057670593,"rasa enak/gurih, harga terjangkau, pelayanan lama/kurang","&bull; udah langganan dari warung masih di gubug kecil sampe sekarang buka di rumah, kalau lewat situ pasti mampir,mie ayamnya mantap sekali, ngangenin 👍<br>&bull; makanannya enak, mienya pas, tapi pelayanan lamaa, hampir 1 jam menunggu..<br>&bull; Rasa Mie Ayamnya Biasa saja. Untuk Mie Ayam Cekernya masih ada kuku di kaki ayamnya. Jadi tidak Napsu makan. Tempatnya Sempit dan Panas"
ChIJOV0RGZleZS4Rj7dTbbBYfYA,Mie Ayam Deddy,"H794+W9H, Jl. Jend. Sudirman, Sokayasa, Purwokerto Wetan, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53147, Indonesia",-7.430193400000002,109.25597819999999,81,8,73,Positif,0.13774241507053375,0.8622575998306274,"rasa enak/gurih, tempat nyaman/bersih, porsi kurang","&bull; Porsinya banyak, mienya enak bangetttt.. Langganan dari jaman kuliah di kalibakal.<br>&bull; Mienya kecil2..aku sukaa Rasane ga lebay..passs Sambele enak Saoese juga enak ga kucel Porsine pass buatku yg ga suka mie kebanyakan Hayuk beliii<br>&bull; Enak tp kurang gurih aja kuahnya"
ChIJv9G7nPpeZS4RKgj_2u8M4E0,Mie Ayam Pak Kumis,"JL. H.R Bunyamin No.47, Glempang, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53121, Indonesia",-7.412019299999999,109.2451626,79,18,61,Positif,0.2557479441165924,0.74425208568573,"rasa enak/gurih, tempat nyaman/bersih, harga mahal","&bull; overall enak dan selalu langganan 👍🏼<br>&bull; overall enak dan pelayanan cepat, selalu langganan<br>&bull; The food is tasty and budget friendly."
ChIJeReySyhfZS4R5d6VJEY8Qj8,MieAgo,"Jl. Perdamaian Dusun Dampit, RT.02/RW.08, Dusun I, Dukuhwaluh, Kec. Kembaran, Kabupaten Banyumas, Jawa Tengah 53182, Indonesia",-7.408296800000001,109.2749709,75,13,62,Positif,0.21947158873081207,0.7805283665657043,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Pertama kali dl ke mie ago mangkok pangsit dukuhwaluh Kesanny baik bagus n enak mie nya... Naaah Hari inih makan lagi nieh Mank bner² mantap rasa m...<br>&bull; Makanan enak, rasa yg mie ayam goreng manis pedas, yg kuah asin gurih... 👍<br>&bull; Di maps tertulis ""mie ago tutup sementara"" Mungkin kemarin sempat libur lebaran belum distel ulang, tp pas k outletnya Alhamdulillah sudah BUKA lag..."
ChIJU2LAnzFcZS4R2IzdxnmMrBE,"Mie Ayam ""We-Tan""2","Jl. Kyai H. Wahid Hasim, Windusara, Karangklesem, Kec. Purwokerto Sel., Kabupaten Banyumas, Jawa Tengah 53144, Indonesia",-7.4502033999999995,109.24290610000001,73,24,49,Positif,0.34784793853759766,0.6521520614624023,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat",&bull; otra buena comida<br>&bull; Makanannya enak sih cuman pelayanannya kurang ramah senyum<br>&bull; Tolong itu kang parkirnya bayar 2rb ngga mundurin sama nyebrangin Mana lngsung ditinggal pergi enak bgt cuma minta uang
ChIJj6EmYPxeZS4RA5PV1GAcTXQ,Mie Ayam Pak Kumis Asli Bumiayu,"Jl. Riyanto No.16, Sumampir Wetan, Pabuaran, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53125, Indonesia",-7.400219300000002,109.24451569999998,73,27,46,Positif,0.3902111351490021,0.6097887754440308,"rasa enak/gurih, tempat nyaman/bersih, harga mahal","&bull; Iseng cari d tiktok. Secara rasa enak. Cuma kurang baso aja. Karena kalau pribadi saya suka bgt mie ayam plus baso<br>&bull; harga mahal tapi estehnya kaya ga pake gula, gaada tisu di meja<br>&bull; Coba makan mie nya aja tanpa toping ayam nya lebih enak, toping nya ga enak blass.. itu yg perlu diperbaiki sih."
ChIJNSW0vkVeZS4R6_6pAtOusAs,Mie Ayam Anjatan Pak Kusman,"Jl. Kamandaka, Dusun II, Karangsalam Kidul, Kec. Kedungbanteng, Kabupaten Banyumas, Jawa Tengah 53152, Indonesia",-7.409269100000002,109.21759170000003,71,17,54,Positif,0.2725009024143219,0.7274991273880005,"rasa enak/gurih, harga terjangkau, pelayanan ramah/cepat","&bull; mie ayamnya enak bumbunya juga rasa,kasih ayamnya juga ga pelit pelit😍<br>&bull; EDIT. ngaco ini siapa yang ngedit nama tempatnya, harusnya titik ini tempat mie ayam kamandaka kenapa jadi mie ayam yang sebelahnya? saya belum per...<br>&bull; Sebelah mie ayam kamandaka. Harga mie ayam 10ribu, Bakso 15ribu, Soto Ayam 12ribu. Nyoba Mie ayamnya aja, porsi dan ayamnya lumayan banyak, cuma ay..."
ChIJa6GahYteZS4RaQ0aDfJqT5s,Mie Ayam Pak Gimin,"Jl. Jatiwinangun Gg. Arjuna No.21, Kebondalem, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.41966,109.2412438,65,9,56,Positif,0.1605316400527954,0.8394683003425598,"rasa enak/gurih, pelayanan ramah/cepat, harga terjangkau","&bull; Enak, harga sesuai dengan porsi, asli bikin kenyang, mba²nya jga ramah<br>&bull; Kaya udah ga ada orang yang jual mi ayam lagi di kota Purwokerto, kalo pengen mi ayam sudah pasti ke pak Gimin<br>&bull; Rasa mienya enak, teh nya juga segar. Mantaappp"
ChIJiZRwRYleZS4RUiPMwpOVhO4,Mie Ayam Mame,"H6GR+R8R, Jl. Adhyaksa I, Brubahan, Purwanegara, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.422884800000002,109.24076700000003,63,17,46,Positif,0.2808131277561188,0.7191869020462036,"rasa enak/gurih, porsi kurang, tempat nyaman/bersih","&bull; Siki bukak ora mas?<br>&bull; Rasanya ta seenak dulu Tapi masih tetep enak si Cuma agak beda saja rasanya dengan yang dulu, menurut lidahku.<br>&bull; Rekomended pisan mie ayam ini hanya buka pagi hari jangan sampai telat dengan citarasa kaldu yang medok pisan dan mie bentukannya kecil kenyal dan..."
ChIJgSryGE5fZS4R45F-Elk9_Ss,Mie Ayam wonogiri Pak Bothak Purwokerto,"Jl. A Jaelani No.31, RT.3/RW.02, Karangwangkal, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53123, Indonesia",-7.4041367,109.25583299999998,57,2,55,Positif,0.0779227688908577,0.9220772385597229,"rasa enak/gurih, harga terjangkau, pelayanan ramah/cepat","&bull; mie ayam e enak, harga terjangkau, suasana nyaman<br>&bull; mie nya mantaaap<br>&bull; Mantul... bumbunya ayam banget... tampilan menggugah selera porsi jg pas banget... harga merakyat... bakal jadi mie ayam favorite ni..."
ChIJj8aiVPNeZS4R0bct3tnGvOE,Mie Jogja Pak Karso Purwokerto,"Jl. Dr. Angka No.75, Glempang, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.416812900000002,109.24202549999997,54,7,47,Positif,0.16925525665283203,0.8307446837425232,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Mie gorengnya enak, mienya kenyal, rasanya pas di lidah<br>&bull; pas hujan jd agak terhambat lumayan enak sih<br>&bull; Mie rebusnya enak... Kuahnya sueeegeerrr..."
ChIJabBj1B9fZS4RIw6Vh9Nfvhg,Mie Ayam & Bakso WE-TAN,"Jl. Senopati, Arcawinangun, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53113, Indonesia",-7.415789300000002,109.2637874,51,14,37,Positif,0.28671780228614807,0.7132821083068848,"rasa enak/gurih, tempat nyaman/bersih, pelayanan ramah/cepat","&bull; Mie ayam yang sangat enak. Semangkok mie ayam berisi: mie, sawi, ayam, dan kuah. Mienya kenyal dan lembut, ayamnya dapat banyak dan rasanya enak. K...<br>&bull; Sambelnya kecut (asem) Porsi cukup Baksonya biasa saja Karyawanya sibuk megang HP semua (kaya males).<br>&bull; Porsinya banyak, rasanya enak, pelayanannya cepat"
ChIJQdmGTABfZS4Rp973u3B7qPU,"Mie Ayam Racikan Ibu Purwokerto ( Enak, Bar-bar & Higienis )","Jl. Jend. Gatot Subroto No.23, Pesayangan, Kedungwuluh, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53131, Indonesia",-7.4194958,109.22901329999999,50,5,45,Positif,0.14097627997398376,0.8590237498283386,"rasa enak/gurih, pelayanan ramah/cepat, pelayanan lama/kurang","&bull; Pelayanan yg leled pelayanan nya mengecewakan padahl udah langganan tp baru ini bikin eneg banget , harusnya udah di siapin bahan""nya kalo kiranya...<br>&bull; Mie ayam Racikan Ibu recommended banget, tekstur mie nya kenyal, pelayanan ramah dan toppingnya banyak, ga pelit. Cocok banget ngemil mie ayam mala...<br>&bull; Porsinya besar satu mangkuk penuh, sawinya banyak... pake bumbu kacang, Ayamnya bumbu manis, cocok bagi yang suka manis2 kecap, kalo penyuka yammie..."
ChIJxxmZcGNeZS4RS62Jvdy-imI,Bakso Kota Cak Man,"H6FJ+M3J, Pereng, Sokanegara, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.425781599999999,109.23012839999997,42,15,27,Positif,0.3670268654823303,0.6329731941223145,"rasa enak/gurih, pelayanan ramah/cepat, pelayanan lama/kurang","&bull; Baksonya sedep enak dan ada paket biar lebih mudah pesennya<br>&bull; Bakso khas Malang yang letaknya di lantai 1 Rita Supermall. Tersedia aneka varian bakso dari urat, daging, telur puyuh, udang, pangsit dan lainnya....<br>&bull; Enak Harga terjangkau Kuah nya seger banget Bnyak pilihan isi baksonya Selamat menikmati"
ChIJE9ooQplfZS4R0KhixkXXF5k,Mie Ayam Pak Toro,"Jl. Yosodarmo No.25-29, Pesayangan, Kedungwuluh, Kec. Purwokerto Bar., Kabupaten Banyumas, Jawa Tengah 53131, Indonesia",-7.422320899999999,109.228104,42,4,38,Positif,0.1260785311460495,0.8739215135574341,"rasa enak/gurih, harga terjangkau, tempat nyaman/bersih","&bull; Mie ayam bumiayu, enak, wajib di coba. Rasa sih otentik ya. Dengan free refil teh, dan daun bawang. Untuk ceker2 free yaa.<br>&bull; Mie Ayam khas bumiayu dengan porsi mie kering kenyal dan toping ayam melimpah harga relatif murah 1 porsi 13rb ada aneka minuman es dan hangat dan...<br>&bull; Salah satu mie ayam langganan, tipe mie ayam bumiayu yang nagih"
ChIJyZziJwBfZS4RaVGrMMov8U8,Soto Kayu Bakar Pak Man,"Jl. Brigjend. Encung, Karanganjing, Bancarkembar, Kec. Purwokerto Utara, Kabupaten Banyumas, Jawa Tengah 53127, Indonesia",-7.408088000000002,109.2355553,42,3,39,Positif,0.11295660585165024,0.8870433568954468,"rasa enak/gurih, harga terjangkau, pelayanan ramah/cepat","&bull; Soto kau bakar , enak bgt ini murah meriah menunya banyak aneka gorengan goreng dadakan yg masih anget anget , soto harga 5rb paket nasi ayam udh p...<br>&bull; Uweenak suegeer....Dapur Kemebul dalam arti sebenarnya lauknya bervariasi cocok banget utk sarapan yang porsi kecil...Juoss<br>&bull; Soto kuah bening, kuah ny sedep ngaldu, ada 2 ukuran mangkok kecil dan ukuran jumbo, harga bersahabat. Ada aneka gorengan, bakso tusuk goreng, telu..."
ChIJsSo_3-lfZS4RIQS6AuCzD_o,"Mie Ayam 88 (Mie Ayam, Mie Bakso, Bebek Goreng, Ayam Goreng)","Jl. Bayangkara, RT.06/RW.06, Purwokerto, Kranji, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53116, Indonesia",-7.421687500000001,109.23643749999998,41,3,38,Positif,0.11330028623342514,0.8866997957229614,"rasa enak/gurih, harga terjangkau, tempat nyaman/bersih","&bull; Menjual mie ayam, bakso, bebek goreng. Berlokasi di sebrang Sat Reskrim Polresta Banyumas. Mie ayamnya enak, hampir semua bahan dibuat sendiri. Kal...<br>&bull; Mie ayamnya enak, tempatnya lumayan nyaman, harganya cocok di kantong, apalagi datenh pas dapet diskon, mie ayam+es teh cuma 10k, murah banget kan,...<br>&bull; makanannya enak dan dijamin halal, tempatnya juga strategi karena dekat dengan sekolahan, pelayanan nya juga ramah. untuk harga dijamin sesuai kant..."
ChIJj1q6AABfZS4Rvtk_us-3YMM,Yamien Ajong / Mie Ayam Ajong,"H6FV+CGG, Jl. Jendral Suprapto, Kebondalem, Purwokerto Lor, Kec. Purwokerto Tim., Kabupaten Banyumas, Jawa Tengah 53114, Indonesia",-7.4264498,109.2438204,40,5,35,Positif,0.1361604928970337,0.8638395071029663,"rasa enak/gurih, pelayanan ramah/cepat, pelayanan lama/kurang","&bull; Sayangnya bukanya sore jelang malam. Gk ada niatan buka siang di jam makan siang kah?<br>&bull; Mienya enak, Overall oke, Dan koko penjualnya ramah sekali, Hidden gem bgt bakmi di purwokerto.. Bakal balik lg kalo ke purwokerto..<br>&bull; Uenak! Apalagi di sambut dengan hangat! Layanan yang sempurna!!"
ChIJBfJ16YH1by4Rn_lQ6ZYk4D8,Mie Ayam Kamandaka,"J6XP+FJH, Jalan Raya, Dusun I, Rempoah, Baturaden, Banyumas Regency, Central Java 53151, Indonesia",-7.3513208999999975,109.23662060000004,31,6,25,Positif,0.22975096106529236,0.7702489495277405,"rasa enak/gurih, tempat nyaman/bersih, rasa kurang cocok","&bull; pesen mie ayam ceker, gaada cekernya<br>&bull; Enak, jg servisnya ramah. Tapi sanitasinya 👎👎👎👎👎. Wastafel airnya dikit, gak ada sabun. Owner-nya gak notice kebersihan kah?<br>&bull; enak 🤝🏻 pecinta mie ayam wajib coba"
