split,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_neg,recall_neg,f1_neg,precision_pos,recall_pos,f1_pos,roc_auc,pr_auc_pos,mcc,cohen_kappa,brier_pos,log_loss,tn,fp_neg_to_pos,fn_pos_to_neg,tp
Validation,0.9247311827956989,0.9574468085106382,0.8549707602339182,0.9323020813682953,0.6056338028169014,1.0,0.7543859649122807,1.0,0.9148936170212766,0.9555555555555556,0.9904926839612639,0.9987476726174558,0.7443725548739056,0.7130736598534516,0.044086518527699244,0.1624298194845838,43,0,28,301
Test,0.9086021505376344,0.9382201173393652,0.8287756538690637,0.9186590320076906,0.56,0.9767441860465116,0.711864406779661,0.9966329966329966,0.8996960486322189,0.9456869009584664,0.9833180179543365,0.997838321974354,0.6984665734299305,0.662233616407627,0.05597818857847978,0.19856804128495653,42,1,33,296
