layer,place_name,lat,lon,n_reviews,positive,negative,positive_pct,negative_pct,dominant_sentiment,aspect_summary
tahun_2020_maret_2026,Bakso Kota Cak Man,-7.425781599999999,109.23012839999998,41,27,14,65.85365853658537,34.146341463414636,Positif,"rasa enak, pelayanan ramah & cepat, pelayanan lama/kurang"
tahun_2020_maret_2026,Mie Ayam Pak Toro,-7.4223209,109.228104,40,39,1,97.5,2.5,Positif,"rasa enak, porsi cukup/banyak, harga terjangkau"
tahun_2020_maret_2026,Soto Kayu Bakar Pak Man,-7.408088000000001,109.23555530000002,40,37,3,92.5,7.5,Positif,"rasa enak, harga terjangkau, pelayanan ramah & cepat"
tahun_2020_maret_2026,"Mie Ayam 88 (Mie Ayam, Mie Bakso, Bebek Goreng, Ayam Goreng)",-7.421687500000001,109.23643750000002,39,37,2,94.87179487179486,5.128205128205128,Positif,"rasa enak, harga terjangkau, tempat nyaman & bersih"
tahun_2020_maret_2026,Yamien Ajong / Mie Ayam Ajong,-7.4264498,109.2438204,35,35,0,100.0,0.0,Positif,"rasa enak, pelayanan ramah & cepat, pelayanan lama/kurang"
tahun_2020_maret_2026,Mie Ayam Kamandaka,-7.351320899999998,109.23662060000002,29,24,5,82.75862068965517,17.24137931034483,Positif,"rasa enak, porsi cukup/banyak, tempat nyaman & bersih"
tahun_2020_maret_2026,Mie Ayam Mas Mul Gendut,-7.423247199999999,109.25045480000003,28,27,1,96.42857142857143,3.571428571428571,Positif,"rasa enak, porsi cukup/banyak, tempat nyaman & bersih"
tahun_2020_maret_2026,Mie Ayam Kamandaka,-7.409301,109.2174523,24,19,5,79.16666666666666,20.833333333333336,Positif,"porsi cukup/banyak, rasa enak, tempat nyaman & bersih"
tahun_2020_maret_2026,Mie Ayam Lik Itis,-7.428542999999998,109.22658219999998,23,20,3,86.95652173913044,13.043478260869565,Positif,"rasa enak, porsi kurang, porsi cukup/banyak"
tahun_2020_maret_2026,Mie Ayam Ma-Dyang,-7.4207155,109.25956390000002,22,17,5,77.27272727272727,22.727272727272727,Positif,"rasa enak, porsi cukup/banyak, porsi kurang"
tahun_2020_maret_2026,Mie Ayam Lampung Khas Bangka Purwokerto,-7.419053300000001,109.22710830000001,22,22,0,100.0,0.0,Positif,"rasa enak, tempat nyaman & bersih, pelayanan ramah & cepat"
tahun_2020_maret_2026,"Mie Ayam dan Bakso Pak Man ""Mixagrip""",-7.4339706,109.24009070000002,20,17,3,85.0,15.0,Positif,"rasa enak, porsi cukup/banyak, tempat nyaman & bersih"
tahun_2020_maret_2026,Mie Ayam Kriuk Purwokerto,-7.4447847,109.24913169999999,20,19,1,95.0,5.0,Positif,"rasa enak, pelayanan lama/kurang, harga terjangkau"
tahun_2020_maret_2026,MIE AYAM 99 KEBONDALEM PURWOKERTO,-7.423582399999998,109.24378740000002,19,13,6,68.42105263157895,31.57894736842105,Positif,"rasa enak, porsi cukup/banyak, harga terjangkau"
tahun_2020_maret_2026,Bakso & Mie Ayam NONI,-7.5364664999999995,109.12150430000001,19,17,2,89.47368421052632,10.526315789473683,Positif,"rasa enak, harga terjangkau, pelayanan lama/kurang"
tahun_2020_maret_2026,Mie Ayam Gajah Mungkur (Pasar Burung),-7.4308108,109.24340739999998,19,17,2,89.47368421052632,10.526315789473683,Positif,"porsi cukup/banyak, rasa enak, pelayanan ramah & cepat"
tahun_2020_maret_2026,Mie Ayam Rendang N3,-7.4167709,109.1995474,17,16,1,94.11764705882352,5.88235294117647,Positif,"rasa enak, harga terjangkau, pelayanan ramah & cepat"
tahun_2020_maret_2026,Bakso Tetelan 161,-7.4075786,109.2304534,16,15,1,93.75,6.25,Positif,"rasa enak, harga terjangkau, pelayanan ramah & cepat"
tahun_2020_maret_2026,Mie ayam kaisar,-7.415881999999998,109.23266289999997,15,15,0,100.0,0.0,Positif,"rasa enak, porsi cukup/banyak, harga terjangkau"
tahun_2020_maret_2026,"Mie Ayam ""Ti Tasik""",-7.419826099999997,109.23078489999997,15,12,3,80.0,20.0,Positif,"rasa enak, tempat nyaman & bersih, harga terjangkau"
tahun_2020_maret_2026,Mie Ayam Bumiayu Pak Tomo,-7.4224605,109.23948769999998,12,10,2,83.33333333333334,16.666666666666664,Positif,"rasa enak, harga terjangkau, pelayanan lama/kurang"
tahun_2020_maret_2026,Mie Ayam Kang Sururi,-7.412107500000001,109.1733545,12,12,0,100.0,0.0,Positif,"rasa enak, pelayanan ramah & cepat, tempat nyaman & bersih"
tahun_2020_maret_2026,Bakmi Nyemek Andi,-7.423320599999999,109.2451137,12,11,1,91.66666666666666,8.333333333333332,Positif,"rasa enak, porsi cukup/banyak, rasa kurang cocok"
tahun_2020_maret_2026,Mie Ayam Goar,-7.4260842,109.2493904,8,6,2,75.0,25.0,Positif,"rasa enak, harga terjangkau, pelayanan ramah & cepat"
tahun_2020_maret_2026,Bakso dan Mie Ayam Pak Kisman,-7.4164,109.22933109999998,6,5,1,83.33333333333334,16.666666666666664,Positif,"porsi cukup/banyak, pelayanan lama/kurang, rasa enak"
tahun_2020_maret_2026,Mie Ayam Bangka Oey,-7.413964,109.23762409999999,5,5,0,100.0,0.0,Positif,"rasa enak, harga terjangkau, porsi kurang"
tahun_2020_maret_2026,Bakso Daging Sapi Pak Giman Pasar Manis,-7.4189653,109.2269107,3,3,0,100.0,0.0,Positif,"tempat nyaman & bersih, porsi cukup/banyak, harga terjangkau"
tahun_2020_maret_2026,ceker mercon ngapak,-7.419006200000001,109.2443641,3,3,0,100.0,0.0,Positif,"rasa enak, porsi cukup/banyak, tempat nyaman & bersih"
tahun_2020_maret_2026,BAKSO & MIE AYAM LA TANZA cabang sumedang,-7.3989062,109.2358174,1,1,0,100.0,0.0,Positif,rasa enak
tahun_2020_maret_2026,Mie Ayam Mbah Jas,-7.535501,109.12372,1,1,0,100.0,0.0,Positif,tema ulasan belum dominan
tahun_2020_maret_2026,Mie Ayam Pak Dhe,-7.3779111,109.2429119,1,1,0,100.0,0.0,Positif,rasa enak
