Model,Train Macro-F1,Val Macro-F1,Test Macro-F1,Gap Train-Val Macro-F1,Gap Train-Test Macro-F1,Train Recall-NEG,Val Recall-NEG,Test Recall-NEG,Diagnosis
OPT SGD Logistic TF-IDF word+char + natural_80pct + class_weight + plain CE + early_stop + balanced_threshold,0.9531529295640964,0.8680672268907563,0.86816854401335,0.08508570267334004,0.08498438555074639,0.9532710280373832,0.8125,0.7647058823529411,Generalisasi relatif baik
OPT Logistic Regression TF-IDF word+char + natural_80pct + class_weight + balanced_threshold,0.9407139687768086,0.8567518248175183,0.8568840579710144,0.08396214395929025,0.08382991080579416,0.9906542056074766,0.9375,0.8823529411764706,Generalisasi relatif baik
OPT SGD Logistic TF-IDF word+char + rus_1_2 + class_weight + plain CE + early_stop + balanced_threshold,0.9761014344792025,0.9105209164481933,0.8352106800166875,0.06558051803100917,0.14089075446251498,0.9485981308411215,0.8125,0.7058823529411765,Generalisasi relatif baik
OPT LinearSVC calibrated TF-IDF word+char + natural_80pct + class_weight + balanced_threshold,0.9779756167892408,0.8680672268907563,0.8746031746031746,0.1099083898984845,0.10337244218606623,1.0,0.8125,0.8235294117647058,Indikasi overfit
OPT LinearSVC calibrated TF-IDF word+char + rus_1_3 + class_weight + balanced_threshold,0.980896123564587,0.8802440884820748,0.873880266075388,0.10065203508251219,0.10701585748919895,1.0,0.9375,0.9411764705882353,Indikasi overfit
