Rank,Model,Train Acc,Val Macro-F1,Val Recall-NEG,Test Accuracy,Test Precision-NEG,Test Precision-POS,Test Recall-NEG,Test Recall-POS,Test Macro-F1,Test Weighted-F1,Test ROC-AUC,Threshold,Waktu (s),Notes
1,OPT LinearSVC calibrated TF-IDF word+char + natural_80pct + class_weight + balanced_threshold,0.9883227176220807,0.8680672268907563,0.8125,0.9493670886075949,0.7368421052631579,0.9784172661870504,0.8235294117647058,0.9645390070921985,0.8746031746031746,0.9505927265420936,0.9691280767626198,0.6,0.8201432228088379,"Non-pretrained. TF-IDF word+char, LinearSVC calibrated, train=natural_80pct, class_weight balanced."
2,OPT LinearSVC calibrated TF-IDF word+char + rus_1_3 + class_weight + balanced_threshold,0.9853971962616822,0.8802440884820748,0.9375,0.9430379746835443,0.6666666666666666,0.9925373134328358,0.9411764705882353,0.9432624113475178,0.873880266075388,0.9471756153695023,0.9720483938256154,0.59,0.4309804439544678,"Non-pretrained. TF-IDF word+char, LinearSVC calibrated, train=rus_1_3, class_weight balanced."
3,OPT SGD Logistic TF-IDF word+char + natural_80pct + class_weight + plain CE + early_stop + balanced_threshold,0.9752300070771408,0.8680672268907563,0.8125,0.9493670886075949,0.7647058823529411,0.9716312056737588,0.7647058823529411,0.9716312056737588,0.86816854401335,0.9493670886075949,0.9712140175219024,0.39,0.5572128295898438,"Non-pretrained. TF-IDF word+char, train=natural_80pct, SGD log_loss/plain CE, class_weight=balanced, early_stop."
4,OPT Logistic Regression TF-IDF word+char + natural_80pct + class_weight + balanced_threshold,0.9670912951167728,0.8567518248175183,0.9375,0.9367088607594937,0.6521739130434783,0.9851851851851852,0.8823529411764706,0.9432624113475178,0.8568840579710144,0.940767749036874,0.9703796412181893,0.49,0.5010650157928467,"Non-pretrained. TF-IDF word+char, train=natural_80pct, class_weight=balanced, threshold seimbang."
5,OPT SGD Logistic TF-IDF word+char + rus_1_2 + class_weight + plain CE + early_stop + balanced_threshold,0.9789719626168224,0.9105209164481933,0.8125,0.9367088607594937,0.7058823529411765,0.9645390070921985,0.7058823529411765,0.9645390070921985,0.8352106800166875,0.9367088607594937,0.9649561952440551,0.27,0.2646510601043701,"Non-pretrained. TF-IDF word+char, train=rus_1_2, SGD log_loss/plain CE, class_weight={0: 1.2, 1: 1.0}, early_stop."
